Complexity,Loss,Equation
1,0.014193514,"0.828121"
3,0.008624805,"input_u + 1.128143"
5,0.008624801,"(input_u + 1.2354947) - 0.107351966"
7,0.008624796,"(input_u + (time + 1.1281372)) - time"
9,0.00862478,"(input_u + (time + 1.1334058)) + (-0.005265083 - time)"
11,0.008624768,"(0.094332844 - time) + (((time - 0.25650293) + 1.2903129) + input_u)"
13,0.008624763,"((input_u + ((0.034478314 - time) + 0.008059261)) + (time + 1.3545085)) - 0.26890454"
15,0.008624747,"(((((time + (time - 0.08437779)) + 1.7556291) + input_u) - 0.54310954) - time) - time"
17,0.008624737,"((time + 1.265309) + (input_u + ((-0.410106 - (time + -0.18502162)) - (time + -0.08791798)))) + time"
25,0.008624725,"((((((input_u + input_u) + time) + time) - 0.0029426576) + 0.5005659) - (time + (time + (-0.66028506 - time)))) - ((time - -0.029749429) + input_u)"
27,0.00862471,"time + ((-0.044022817 - time) + (((((input_u + ((-0.036675256 - (time + -0.031464767)) + -0.08496455)) + time) - ((time + -0.07781926) - -0.047448453)) + time) + 1.23197))"
29,0.008624685,"((((input_u + (0.11951017 - (((time - -0.22140822) + time) - time))) - (input_u + (time - 0.20756806))) + -0.03792151) - -0.8491778) + ((input_u + (time + time)) - -0.21121642)"
