Complexity,Loss,Equation
1,0.19956133,"1.2233593"
3,0.034494184,"time + -3.1716518"
5,0.03449415,"(time - -0.2259924) + -3.3976436"
7,0.034494147,"((time + 0.23081268) - 2.6146035) + -0.7878613"
9,0.034494128,"((time + -3.3614404) + time) - (time - 0.18978757)"
11,0.034494106,"((time + (time + -0.32919014)) + -2.8102949) - (time - -0.03216534)"
13,0.034494087,"((time + ((-4.1879697 - (time + -0.21309063)) + -0.31600633)) + time) + 1.1192341"
15,0.03449407,"(((time + time) + -0.19371188) + ((-4.538269 - (time + -0.22402535)) + 0.0616536)) - -1.2746449"
17,0.034494057,"(time + ((((time + time) - -0.27250323) + 0.14546911) - (time + 1.9125304))) - (time + 1.6771069)"
19,0.034493987,"(((time + ((time + time) + 0.43459365)) - 3.607286) + (0.16427058 - time)) + (-0.096525505 - (time + 0.06670458))"
29,0.034493964,"((time + 0.04531736) - input_u) + ((((time - 0.11563772) + time) + 1.0264162) + (((((0.04708528 - (time + -0.08920692)) - (time + -0.06508085)) + -0.12636302) - 4.2027593) + input_u))"
