Complexity,Loss,Equation
1,0.34090197,"1.5352858"
5,0.3409018,"(time + 1.535271) - time"
7,0.34090155,"(time + 1.5045799) - (time - 0.030697342)"
11,0.34090114,"((time + time) + 1.859967) - ((time + time) + 0.32467562)"
13,0.34090096,"((time + time) + 1.8890216) - ((time + (time - -0.058194708)) + 0.29561144)"
15,0.3409006,"((time + (time + -0.028535387)) + 1.5002965) - (((time + time) - 0.15042193) + 0.08689621)"
19,0.34090042,"(time + (time + ((time + time) - -1.1885021))) + ((((0.34673545 - time) - time) - time) - time)"
21,0.34089983,"((((0.7840371 - time) - time) - time) - time) + ((time + (time + ((time + time) - -0.72852606))) + 0.02271365)"
25,0.3408989,"((((-0.026525963 - time) - time) - time) - time) + (-0.58407116 + ((((time + time) + ((time + 0.96701556) + time)) - -0.3726667) + 0.80619997))"
29,0.34089887,"((((time + ((time + time) + time)) - -0.28387582) + 0.1470501) - -0.13277197) + (((((time - time) - time) - time) + ((0.31506082 - time) - time)) - -0.65654135)"
