Complexity,Loss,Equation
1,0.15740377,"1.3559058"
5,0.15740372,"(time + 1.3559021) - time"
7,0.1574036,"((time + 0.40729278) - -0.94861454) - time"
9,0.15740359,"(0.53779244 - time) + ((0.09313151 + time) + 0.7249807)"
11,0.15740351,"(time + time) + (0.20256698 - ((time + time) + -1.1533171))"
13,0.15740335,"((time + time) + 0.74400955) - (((time + time) - 0.055622946) + -0.5562715)"
17,0.15740323,"(time + (time + 0.79838514)) - (0.05074028 - (((-0.0491329 - time) - (time - 0.93797135)) + -0.28057197))"
23,0.15740319,"(1.826495 + ((((-0.8817831 - time) - ((time + time) - -0.43671554)) - (0.65408564 - time)) - -0.09026954)) + (1.4117248 + (time + time))"
25,0.15740302,"((input_u - (time + (time + input_u))) - time) + (((time + (((time + time) + (time - 0.39965543)) + 0.4702744)) - -1.2852912) - time)"
27,0.15740292,"((time + (time + (time + time))) + 1.1438453) + (((((1.0728406 - (time + (input_u + time))) - time) - (-0.11831669 - input_u)) - time) - 0.97909397)"
29,0.15740265,"((((0.8104998 - (time + (input_u + time))) - (time - input_u)) + (((((time + (time + time)) + time) - 0.46900773) + 0.69432634) - -0.36377862)) - time) - 0.043682393"
