Complexity,Loss,Equation
1,0.09005102,"1.0098746"
5,0.09005094,"time + (1.0099036 - time)"
7,0.090050876,"time + ((0.84276164 - time) + 0.16714442)"
9,0.090050824,"((0.28523305 - time) + 0.5362259) + (time + 0.18844467)"
11,0.09005078,"((time - -1.4806381) + 0.19660528) - ((time - -0.68501127) + -0.017672177)"
13,0.09005072,"((time + 1.854843) - -1.4586016) - (((time + 1.4226307) - -1.0264105) + -0.14551327)"
19,0.09005058,"(((time + 0.9558008) + time) + ((0.6491538 + ((-0.06761208 - (time + 0.83194375)) - time)) + -0.3138149)) - -0.61831886"
23,0.09005057,"(-0.9981903 - (time + ((0.0106282905 - (((time - -0.4071284) + time) + 1.4744596)) - (0.0817482 - input_u)))) + (input_u - (time + -0.055386182))"
25,0.09005045,"(input_u + ((-0.42931306 - (time + ((0.20254986 - (((time - -0.25827748) + time) + 2.0618813)) - (0.1531174 - input_u)))) - 0.5659163)) - (time + 0.265591)"
29,0.0900504,"(input_u + input_u) + (((-0.4293131 - (time + ((0.2025499 - (((time - -0.25827762) + time) + 2.0618813)) - (0.15311731 - input_u)))) - 0.5659164) - ((time + 0.26559108) + input_u))"
