Complexity,Loss,Equation
1,0.10286283,"1.1601523"
3,0.001743016,"time + -8.23986"
5,0.0017430017,"(time + -1.1488262) - 7.091035"
7,0.0017430003,"((time + -1.1792227) - 7.05452) + -0.006118014"
9,0.0017429955,"(((input_u + time) - 0.96573126) + -7.2741294) - input_u"
11,0.0017429888,"(-0.039693706 - time) + (time + ((-7.685247 + time) + -0.51492876))"
13,0.0017429832,"((-1.4551218 + ((input_u + time) - 0.9512374)) + (-1.6256764 - 4.2077785)) - input_u"
17,0.0017429698,"(((((((time + time) + -1.114782) - 1.5327638) - time) - 2.9205024) + time) + -2.6718125) - time"
19,0.0017429611,"(((((((time + time) + -2.0568497) - 1.7143959) - (time + 0.7648561)) + time) - 1.6619029) + -2.0418236) - time"
21,0.001742959,"(((time + ((((((time + time) + -2.1103413) - 0.853988) - time) + -1.0406563) - 0.52640325)) - 1.7153848) + -1.993094) - time"
25,0.0017429545,"(((time + ((time + ((((time + time) + -2.2376454) - time) + -1.5765241)) - ((time - 0.18426996) + input_u))) + input_u) + -4.6099606) - time"
29,0.0017429487,"((input_u + (((time + ((((time + time) + -2.2376454) - time) + -1.5765241)) - ((time - 0.18426996) + input_u)) + (-4.6099606 - time))) + (input_u + time)) - input_u"
