Complexity,Loss,Equation
1,0.32007492,"1.6341207"
4,0.13351664,"1.6609322 - cos(x0)"
5,0.005632394,"(x0 * 0.31570098) + 1.0057523"
7,0.005632387,"((x0 + 0.76442593) * 1.315696) - x0"
8,0.00040262708,"(x0 * 0.4522264) + cos(x0 * 0.28266248)"
9,0.00039785277,"(x0 * ((x0 * -0.03253401) + 0.44572616)) - -0.97847545"
10,0.00011121607,"cos((x0 * -0.33526382) - 0.20465487) + (x0 * 0.5517635)"
12,6.312956e-5,"((x0 * 0.5980149) + cos((x0 * -0.36753124) - 0.2930504)) - -0.028985202"
13,1.4088653e-5,"((sin(x0) * -0.096699096) + cos(x0 * -0.4568935)) + (x0 * 0.6041801)"
15,5.725067e-6,"(cos(x0 * -0.46042353) + (sin(x0 + 0.048569515) * -0.09828488)) + (x0 * 0.6065634)"
17,4.0678865e-6,"((cos(x0 - 1.3745503) * -0.118440025) + (cos(x0 * -0.48480752) * 1.0196012)) + (x0 * 0.62498784)"
19,3.7484092e-6,"(cos(sin(x0) * -0.1934727) * ((sin(x0) * -0.08834194) + cos(x0 * -0.4536636))) + (x0 * 0.60175896)"
20,8.5595167e-7,"(cos(sin(x0) * -0.2388845) * (cos(x0 * -0.45664042) + (sin(sin(x0)) * -0.09633427))) + (x0 * 0.6047542)"
21,8.527449e-7,"(cos(sin(x0) * -0.2388845) * (cos(x0 * -0.45664042) + sin(sin(sin(x0)) * -0.09633427))) + (x0 * 0.6047542)"
22,7.9367646e-7,"(((sin(sin(x0)) * -0.09601345) + cos(x0 * -0.45718446)) * cos(sin(x0 + 0.023593377) * -0.24075584)) + (x0 * 0.6052413)"
23,7.784993e-7,"(cos(sin(sin(x0 + 0.02359526) * -0.2407826)) * ((sin(sin(x0)) * -0.09620831) + cos(x0 * -0.45718315))) + (x0 * 0.6052316)"
24,7.647261e-7,"(cos(sin(sin(sin(x0 + 0.02359526) * -0.2431721))) * ((sin(sin(x0)) * -0.0962083) + cos(x0 * -0.45718312))) + (x0 * 0.6052316)"
25,7.5588906e-7,"(cos(sin(sin(sin(sin(x0 + 0.023595227) * -0.24562357)))) * ((sin(sin(x0)) * -0.0961578) + cos(x0 * -0.45717984))) + (x0 * 0.6052326)"
26,7.553939e-7,"(cos(sin(sin(sin(sin(x0 + 0.023595227) * -0.24562357)))) * (sin(sin(sin(x0)) * -0.09633427) + cos(x0 * -0.45717984))) + (x0 * 0.6052326)"
