Complexity,Loss,Equation
1,0.32007492,"1.6340874"
4,0.13351664,"1.6609237 - cos(x0)"
5,0.092754096,"1.6476507 - sin(cos(x0))"
6,0.07598522,"1.6400844 - sin(sin(cos(x0)))"
7,0.032080863,"1.55894 - cos(x0 + cos(x0))"
8,0.02317777,"1.5664377 - sin(cos(x0 + cos(x0)))"
9,0.021282032,"1.5753342 - sin(cos(sin(cos(x0)) + x0))"
10,0.016626576,"1.5001942 - sin(cos(cos(0.20646313 - x0) + x0))"
11,0.01578989,"1.516305 - sin(cos(sin(cos(x0 + -0.20313671)) + x0))"
12,0.009682877,"1.5554026 - sin(cos((x0 + -0.20722756) + cos(x0 + -0.3429183)))"
13,0.0071938173,"1.568963 - sin(sin(cos(cos(x0 + -0.43427366) + (x0 + -0.28157315))))"
14,0.0071118767,"cos(cos((sin(sin(cos(x0))) + x0) - 0.249278) - -1.0082121) + 1.2574418"
15,0.0054711993,"cos(cos(x0 + sin(cos(x0 - 0.23632374) - 0.40527135)) + 1.0640602) - -1.264172"
17,0.0027293563,"sin(cos(x0 + 2.5710366) - (x0 + 1.0215608)) + (cos(sin(x0) - 0.19824156) + 0.89286226)"
18,0.0021908872,"1.5095215 - sin(cos(x0 + ((cos(cos(x0 + -1.11404)) + cos(x0 + -0.3244697)) + -0.89231265)))"
19,0.0014357853,"1.5425862 - sin(sin(cos((cos(cos(x0 + -1.3000869)) + x0) + (cos(x0 + -0.4758941) + -1.0167913))))"
20,0.0007894856,"1.3190573 - sin(cos((cos(cos(x0 + -1.1219844)) + -1.104969) + (cos(x0 + -0.3449243) + x0)) + -0.39494482)"
21,0.00064806297,"1.3198979 - sin(cos(x0 + (cos(x0 + -0.34417307) + sin(cos(cos(x0 + -1.1207122)) + -1.1272128))) + -0.40130624)"
28,0.0005859409,"(sin(((x0 - 1.8491774) - cos(x0 + 1.710186)) + cos(x0 + 0.5565615)) + cos(sin((x0 - -1.1697527) - cos(cos(x0 + 1.8658888))))) - -0.7826692"
29,0.00052202307,"(cos(sin(cos(sin(cos(x0 + 1.8952807))) - (x0 - -1.1772443))) + sin((cos(x0 + 0.52580667) + (x0 - 1.8679389)) - cos(x0 + 1.6875553))) - -0.7911333"
