Complexity,Loss,Equation
1,0.32007492,"1.6340858"
4,0.13351664,"1.6609321 - cos(x0)"
5,0.005632394,"1.005752 - (x0 * -0.31569457)"
7,0.0056323884,"((-0.76443785 - x0) * -1.3157014) - x0"
8,0.00040262713,"cos(x0 * 0.28266647) - (x0 * -0.45223343)"
9,0.00039785277,"0.9784765 - (x0 * ((x0 * 0.032533705) - 0.44572458))"
10,0.000111215406,"cos(0.20478755 - (x0 * -0.33529124)) - (x0 * -0.55182433)"
12,6.2584186e-5,"(cos(0.3103654 - (x0 * -0.3626103)) - (x0 * -0.58532184)) * 1.0360137"
14,5.938747e-5,"(cos((x0 * -0.33211306) - 0.4153816) - ((x0 * -0.507023) - -0.16795698)) * 1.3211231"
16,1.0606472e-5,"((x0 + 1.1886187) - (x0 * (x0 * 0.1330417))) - sin((x0 + 0.38803324) * 0.49701616)"
18,8.4150515e-6,"((1.1822492 - (x0 * (x0 * 0.122864164))) - sin((x0 + 0.39733303) * 0.4737136)) + (x0 * 0.97350174)"
19,5.8234496e-6,"(x0 + (sin(sin(x0 * -0.39664468) + 0.37134153) - -0.63452995)) - ((x0 + 1.4243727) * (x0 * 0.08334534))"
21,4.0309515e-6,"x0 + ((((x0 + 1.8505049) * (x0 * -0.091949254)) + sin(sin(0.17223749 - (x0 * 0.5513044)) * 0.59328616)) - -0.89583075)"
23,3.885699e-6,"((x0 + sin(sin(0.17525087 - (x0 * 0.55880034)) * 0.5904847)) - -0.9677433) - ((x0 + 0.7782176) * ((x0 - -0.99825394) * 0.09346491))"
27,2.044489e-6,"(((x0 - -1.0193162) * (x0 * -0.11647351)) + (((x0 - (sin(x0 + x0) * 0.008793691)) - (sin(x0 * 0.57852864) * 0.6729567)) - -0.9339754)) * 1.0694777"
29,1.3764395e-6,"((((x0 - -1.0160388) * -0.11926523) * x0) + (((x0 - ((x0 - sin(x0 + x0)) * -0.009271039)) - (sin(x0 * 0.5884177) * 0.6697613)) - -0.9367363)) * 1.0669645"
