Complexity,Loss,Equation
1,0.32007492,"1.6339995"
4,0.13351664,"1.6609322 - cos(x0)"
5,0.0927541,"1.6476523 - sin(cos(x0))"
6,0.07598523,"1.6400856 - sin(sin(cos(x0)))"
7,0.032080863,"1.5589405 - cos(x0 + cos(x0))"
8,0.023177775,"1.5664529 - sin(cos(cos(x0) + x0))"
9,0.021282032,"1.5753342 - sin(cos(sin(cos(x0)) + x0))"
10,0.016626576,"1.5001857 - sin(cos(x0 + cos(0.20652607 - x0)))"
11,0.015789889,"1.5162928 - sin(cos(sin(cos(x0 + -0.20307057)) + x0))"
12,0.00968288,"1.5554105 - sin(cos((x0 + -0.20715627) + cos(x0 - 0.34275144)))"
13,0.007193819,"1.5689597 - sin(sin(cos((x0 + -0.28155765) + cos(x0 - 0.43427128))))"
15,0.005471198,"cos(cos(cos(cos(x0 + -0.23627867) + 1.1655139) - x0) - -1.0640652) + 1.2641926"
16,0.005008106,"1.5717127 - sin(sin(sin(cos(x0 + 0.66458863) + ((x0 + sin(x0)) - -1.2915598))))"
17,0.0025314149,"1.5491465 - sin(sin(cos((x0 + (cos(x0 + -0.62541974) + 0.41586727)) - cos(cos(x0)))))"
18,0.0022567841,"1.5103754 - sin(cos(cos(x0 + -0.32006672) + ((x0 + 0.63929325) - cos(cos(x0 + 0.47112566)))))"
19,0.001480209,"1.5426242 - sin(sin(cos(cos(cos(x0 + 0.28428861)) - ((x0 + 0.51645976) + cos(x0 + -0.4699045)))))"
20,0.0012456403,"1.552883 - sin(sin(cos(cos(x0 + -0.43527713) + ((0.43251112 - sin(cos(cos(x0 + 0.33345267)))) + x0))))"
22,0.0012456392,"(1.6267935 - sin(sin(cos(x0 + ((cos(x0 + -0.43512642) + 0.43259028) - sin(cos(cos(x0 + 0.33379582)))))))) + -0.07390701"
23,0.0011367151,"cos(5.135395 - cos(cos(x0 + (cos(cos(0.65410906 - sin(x0 + -1.9105492))) + -1.0298778)) + (x0 + -0.32299048))) + 1.3102314"
24,0.001095663,"cos(5.1478047 - cos((x0 + cos((x0 - cos(cos(x0) - -0.3588337)) + (cos(cos(x0)) + -0.28849816))) + -0.35038748)) + 1.3094462"
25,0.0010738526,"cos(cos(cos(((x0 - cos(sin(cos(x0)))) + cos(cos(x0) - 0.34656218)) + -0.16805738) + (x0 + -0.36269134)) - 5.1529517) + 1.307881"
26,0.0010470129,"cos(cos((cos(cos(cos(x0 + -0.14613539) - 0.44832647) + ((x0 + -0.17407885) - cos(cos(x0)))) + -0.3236294) + x0) - 5.136708) + 1.3074198"
27,0.0010387851,"cos(cos(x0 + (cos(((x0 + -0.17140447) - cos(sin(cos(x0)))) + cos(cos(x0 + -0.06584215) - 0.38361052)) + -0.3582969)) - 5.1506224) + 1.3062012"
28,0.0008679645,"cos(5.1358757 - cos((x0 + -0.31195614) + cos(cos(cos(x0 + -0.4112378) - 0.41811728) + ((-0.23918702 - cos(cos(x0 + -0.32668513))) + x0)))) + 1.3051953"
