Complexity,Loss,Equation
1,0.32007492,"1.6340861"
4,0.13351664,"1.660933 - cos(x0)"
5,0.092754096,"1.6476508 - sin(cos(x0))"
6,0.07598522,"1.6400958 - sin(sin(cos(x0)))"
7,0.032080863,"1.5589402 - cos(x0 + cos(x0))"
8,0.02317777,"1.5664998 - sin(cos(x0 + cos(x0)))"
9,0.021282036,"1.5753977 - sin(cos(sin(cos(x0)) + x0))"
10,0.016626574,"1.5001916 - sin(cos(cos(0.20648648 - x0) + x0))"
11,0.015789887,"1.5162975 - sin(cos(x0 + sin(cos(0.20305802 - x0))))"
12,0.00968288,"sin(cos(x0 + (cos(x0 + -0.3428983) + 2.9343486))) - -1.5554172"
13,0.007193823,"sin(sin(cos((x0 + cos(x0 + -0.43436876)) + 2.8599775))) - -1.5689582"
14,0.0071118753,"cos(-1.008212 - cos(sin(sin(cos(x0))) + (x0 + -0.24927847))) - -1.2574419"
15,0.005471197,"cos(cos(x0 + sin(cos(x0 - 0.236299) + -0.40522975)) - -1.0641147) + 1.2642031"
17,0.0054191826,"cos(cos(x0 + (sin(cos(x0 - 0.24549401) + -0.2987869) - 0.095788196)) - -1.0709907) + 1.2725425"
18,0.0023083773,"cos(cos((cos(sin(x0)) + (x0 + cos(0.67589724 - x0))) - 0.94098514) - -2.029904) + 1.7978638"
20,0.00078948436,"cos(cos(x0 + ((cos(x0 - 0.34523138) - 1.1052681) + cos(sin(x0 + 0.44846255)))) - -1.175675) + 1.3190013"
21,0.0007324705,"cos(cos((sin(cos(cos(1.05636 - x0))) + cos(x0 - 0.3062756)) + (x0 - 1.0195612)) - -1.1695093) + 1.3231244"
22,0.00052141736,"cos(cos((cos(x0 - 0.31275088) - 1.1026522) + (cos(-0.068395704 - sin(-0.4593521 - x0)) + x0)) - -1.2149158) + 1.3410889"
