Complexity,Loss,Equation
1,0.32007492,"1.6340873"
4,0.13351664,"1.6609322 - cos(x0)"
5,0.092754096,"1.647651 - sin(cos(x0))"
6,0.07598522,"1.6400844 - sin(sin(cos(x0)))"
7,0.032080863,"1.5589405 - cos(cos(x0) + x0)"
8,0.023177775,"1.5665057 - sin(cos(cos(x0) + x0))"
9,0.021282036,"1.5753738 - sin(cos(x0 + sin(cos(x0))))"
10,0.016626576,"1.5001941 - sin(cos(x0 + cos(x0 - 0.20646311)))"
11,0.015789887,"1.5162891 - sin(cos(x0 + sin(cos(0.2030733 - x0))))"
12,0.00968288,"1.555428 - sin(cos((x0 - 0.20719348) + cos(0.34276432 - x0)))"
13,0.007193819,"1.5689628 - sin(sin(cos(cos(0.43428278 - x0) + (x0 - 0.28157863))))"
14,0.0071118777,"cos(cos((sin(sin(cos(x0))) + x0) + -0.24927813) + 1.0082129) + 1.2574427"
15,0.0054711993,"cos(cos(x0 + sin(cos(0.23642386 - x0) + -0.4053564)) + 1.0640942) + 1.2642093"
17,0.0054191835,"cos(cos(sin(cos(x0 - 0.2454002) + -0.29858252) + (x0 + -0.09591637)) + 1.0710404) + 1.2726023"
18,0.002308378,"cos(cos((x0 + (cos(x0 - 0.6758775) + cos(sin(x0)))) + -0.9409758) + 2.0298777) + 1.7978412"
20,0.00078948616,"cos(cos((cos(x0 - 0.3451524) + (x0 + cos(sin(x0 - 2.6929295)))) + -1.1052737) + 1.175561) + 1.3189424"
21,0.0007324759,"cos(cos((cos(0.30661222 - x0) + x0) + (-1.0199438 + sin(cos(sin(2.6274817 - x0))))) + 1.169347) + 1.323123"
25,0.0006546503,"cos(cos(x0 + (cos(0.33150828 - x0) + sin(cos(sin(x0 - ((x0 + -0.4681785) - x0))) + -1.1128682))) + 1.17182) + 1.3179133"
27,0.0006037776,"sin(cos((cos(((x0 - x0) - cos(x0)) - sin(x0 - 0.6379749)) + (cos(0.3390718 - x0) + x0)) + -1.1581258) + 2.7460947) + 1.326355"
