Complexity,Loss,Equation
1,0.32007492,"1.6339915"
4,0.13351664,"1.6609325 - cos(x0)"
5,0.005632395,"(x0 * 0.3156959) + 1.0057523"
7,0.005632387,"((x0 + 0.76442593) * 1.315696) - x0"
8,0.00040262708,"(x0 * 0.45220777) + cos(x0 * 0.28264314)"
9,0.00039785285,"(x0 * ((x0 * -0.03253388) + 0.44572505)) + 0.9784763"
10,0.000111218236,"cos((x0 + 0.6107122) * 0.33510453) + (x0 * 0.55160886)"
12,6.58988e-5,"((x0 + 0.039486323) * 0.59217304) + cos((x0 + 0.75973064) * 0.36430708)"
13,4.4599077e-5,"(x0 * ((((x0 * 0.0067954008) + -0.07329133) * x0) + 0.49511853)) + 0.98827636"
15,4.4599063e-5,"(x0 * ((((x0 * 0.003398473) - 0.03665049) * (x0 + x0)) + 0.49513084)) + 0.9882803"
17,1.980589e-5,"((x0 + (cos(sin(sin(x0 * 0.80694795))) + (sin(x0) * 0.5116421))) * 0.34506503) + 0.65133494"
18,1.5971684e-5,"((x0 + (cos(sin(sin(x0 * 0.81150246))) + sin(sin(x0) * 0.52556396))) * 0.34489372) + 0.6520235"
