Complexity,Loss,Equation
1,12.003778,"48.478516"
3,0.04895105,"dx + Velocity_t"
5,0.04888259,"Velocity_t - (dx / -1.0014191)"
7,0.04827503,"((dx + Velocity_t) + 0.358469) * 0.9928021"
9,0.048275016,"0.99279606 * (((Velocity_t + 0.44853252) - 0.089762606) + dx)"
10,0.046321202,"((sqrt(Velocity_t) + 27.300192) / dx) + (Velocity_t * 0.9605156)"
12,0.04632114,"((sqrt(Velocity_t) + 27.300186) / dx) + ((Velocity_t / dt) * 0.9605153)"
13,0.04453148,"(24.85443 / dx) + (((0.19449776 / dx) * Velocity_t) + (Velocity_t * 0.96173495))"
18,0.04448233,"((((dt * sqrt(Velocity_t)) + 21.4547) / dx) + ((0.1210726 / dx) * Velocity_t)) + (Velocity_t * 0.9617179)"
23,0.02180375,"(dx + Velocity_t) - (-1.0577909 / ((Velocity_t + (((((dx + dx) + (dx + dx)) + dx) + -0.6475313) + dx)) * dt))"
26,0.0027838878,"(Velocity_t + ((0.17313883 / ((dx + ((Velocity_t + dx) / (dt + 1.2072552))) + (sqrt(Velocity_t - Velocity_t) + (dx - 2.2785435)))) + dx)) + -0.0055260602"
27,0.0008456159,"(Velocity_t - ((-1.0224335 / ((((dx + dx) + ((dx + dx) + -0.63412887)) + (Velocity_t + dx)) + dx)) * 2.6025562)) + ((dx * 1.0212806) + -0.14202161)"
