Complexity,Loss,Equation
1,12.003778,"48.478516"
3,0.04895105,"dx + Velocity_t"
5,0.048882563,"(dx * 0.9986013) + Velocity_t"
7,0.048275005,"((Velocity_t + dx) * 0.99281704) + 0.3551635"
9,0.047672924,"((Velocity_t * 0.9815286) + (dx * 0.9893586)) + 0.90232134"
11,0.041740306,"(1.1416327 / ((dx / 0.16725057) + Velocity_t)) + (Velocity_t + dx)"
13,0.008595476,"((1.0102545 / (Velocity_t + ((dx + -0.15955243) / 0.16725057))) + dx) + Velocity_t"
15,0.0016281996,"dx + (Velocity_t + (0.36949506 / (((dx - -0.50388324) * (-1.3125926 / -0.1985779)) + Velocity_t)))"
21,0.0015223989,"(0.5029204 / ((Velocity_t + -0.8386377) - ((dx - (((Velocity_t + dx) - -0.2867868) / Velocity_t)) / -0.18637383))) + (Velocity_t + dx)"
23,0.0011140507,"((0.5029204 / ((Velocity_t + -0.8386377) - ((dx - ((Velocity_t + (dx - -0.2867868)) / Velocity_t)) / -0.18637383))) + (Velocity_t + dx)) + -0.04790091"
26,0.0009177421,"(((0.5228259 / ((((-0.22736742 - (dx - (sqrt(0.5228259 / Velocity_t) / Velocity_t))) + (Velocity_t / Velocity_t)) / -0.18115366) + Velocity_t)) + Velocity_t) + dx) - 0.023146784"
