Complexity,Loss,Equation
1,12.158286,"48.54151"
3,0.06125,"x0 + x1"
5,0.061142188,"x0 - (x1 * -0.99823886)"
7,0.06019701,"((x1 + x0) * 0.99109244) - -0.4410754"
9,0.059316147,"(((x0 * 0.9904448) + x1) * 0.98716205) - -1.0887089"
12,0.0044243117,"(x0 + x1) - (sin(x0) / (x0 + (x1 * 6.12167)))"
13,0.0038323246,"x0 + (x1 - (0.772619 / (((x1 * 6.093947) + x0) - 0.46273646)))"
14,0.002337386,"(x0 + x1) - (sin(x0 + -0.44319025) / (x0 + (6.12167 * x1)))"
16,0.0020160319,"x0 + (x1 - (sin(x0) / (((x2 + x0) - 0.92155683) + (x1 * 6.1370587))))"
17,0.00037640214,"(x0 + x1) - (0.2573283 / (((x1 * 5.931584) + (x0 - 1.353296)) + (x1 / x0)))"
19,0.00022763798,"((x0 + x1) - (0.2573283 / (((x1 * 5.931584) + (x0 - 1.353296)) + (x1 / x0)))) + 0.021250349"
21,2.626589e-5,"(x0 + x1) - ((0.4973333 / ((x1 / -0.14288181) + (x1 + (0.9987629 - x0)))) / ((0.3308641 - x1) + -0.006932932))"
