Complexity,Loss,Equation
1,12.158286,"48.54151"
3,0.06125,"x1 + x0"
5,0.061142143,"x0 + (x1 / 1.001772)"
7,0.060197,"((x1 + x0) + 0.44409263) * 0.99111116"
9,0.059316445,"(((x1 * 1.0096827) + x0) / 1.0229094) + 1.0943784"
11,0.059192695,"((((x1 * 1.0061013) + x0) / 1.0660974) + 1.192629) ^ 1.0099642"
12,0.00044679097,"(0.019603506 / (x1 + sqrt(x0 + 6.0395293))) + (x1 + x0)"
14,0.0002527889,"((0.019603506 / (x1 + sqrt(x0 + 6.0395293))) + (x1 + x0)) + -0.011743916"
16,2.8285449e-8,"(((0.3495893 ^ x0) ^ (sqrt(x0 - -6.5088325) + x1)) + x2) * (x1 + x0)"
17,3.5348421e-10,"((x2 + (0.20940317 ^ (x0 ^ (sqrt(x0 + sqrt(x0)) + x1)))) * x0) + x1"
19,3.1956005e-10,"((x0 * (x2 + (0.20940477 ^ (x0 ^ (x1 + sqrt(x0 + sqrt(x0))))))) + x1) * 0.9999998"
21,2.2009772e-12,"(x0 + x1) * (((0.043071344 ^ (sqrt(x0) + sqrt(x0))) ^ (sqrt(x0 + sqrt(x0)) + x1)) + x2)"
25,0.0,"(x1 + x0) * (((0.046895172 ^ ((sqrt(x0) + sqrt(x0)) * (x2 + 0.027801983))) ^ (x1 + sqrt(x0 + sqrt(x0)))) + x2)"
