Complexity,Loss,Equation
1,12.158286,"48.54151"
3,0.06125,"x1 + x0"
5,0.061142202,"(x1 * 0.9982405) + x0"
7,0.060197018,"((x0 + x1) * 0.9910904) + 0.4411621"
9,0.05931622,"((x1 * 0.9871335) + (x0 * 0.9777177)) + 1.0892725"
11,0.0065695154,"x0 + (x1 + (-0.16256395 / ((x0 * 0.16230692) + x1)))"
12,0.006383789,"(x0 + x1) + (-0.10942865 / (x1 + (x0 * sqrt(0.026343537))))"
13,0.002806178,"(-0.16256192 / ((x0 * 0.162247) + x1)) + ((x0 + x1) + 0.046138514)"
17,0.0017276157,"(x0 + (-0.05536086 / (x1 * sin(sqrt((0.12128853 + x0) * (0.42148346 ^ x1)))))) + x1"
18,0.00048618842,"(-0.035450414 / ((x1 + 3.5495937) * sin((0.8968903 ^ x1) * (x0 + x2)))) + (x1 + x0)"
19,8.3897e-5,"((-0.05536554 / ((x1 + x1) * sin(sqrt((0.4214827 ^ x1) * (x0 + 0.121245615))))) + x1) + x0"
21,5.1076757e-5,"(-0.05536554 / (sin(sqrt((0.4214827 ^ x1) * (x0 + 0.121245615))) * ((x1 + x1) + 0.3812987))) + (x1 + x0)"
