Complexity,Loss,Equation
1,12.158286,"48.54247"
3,0.06125,"x1 + x0"
5,0.061142143,"(x1 / 1.0017718) + x0"
7,0.060197,"((x1 + x0) + 0.44407398) * 0.9911116"
9,0.059316136,"1.0834675 + ((x1 / 1.0129979) + (x0 * 0.97783715))"
11,0.05916164,"((x0 * 0.96678656) + 1.6268291) + (x1 - (x1 / x0))"
12,0.0008406175,"(0.026910275 / ((x1 + sqrt(x0)) + 0.44657028)) + (x0 + x1)"
14,0.00015478513,"((-0.011307789 / ((sqrt(x0 + 0.31138095) + 0.4172151) + x1)) + x1) + x0"
20,7.938571e-5,"((-0.18223196 / ((((x1 * -0.721577) - -0.42527643) / x0) + cos(x1 + x0))) / x0) + (x1 + x0)"
22,6.917451e-5,"((-7.8169622 / (((((x1 * -0.721577) - -0.42527643) / x0) + cos(x0 + x1)) * x0)) / x0) + (x1 + x0)"
23,1.9494983e-5,"((-0.18223196 / ((((x1 * -0.721577) - -0.42527643) / x0) + cos(x1 + x0))) / (x0 + exp(x1))) + (x0 + x1)"
25,1.5696154e-5,"(((-0.18223196 / ((((x1 * -0.721577) - -0.42527643) / x0) + cos(x1 + x0))) / (x0 - (exp(x1) * x0))) + x1) + x0"
27,1.1825851e-5,"((-7.8169622 / (((((x1 * -0.721577) - -0.42527643) / x0) + cos(x1 + x0)) * x0)) / (x0 - (exp(x1) * x0))) + (x0 + x1)"
29,1.0415396e-5,"((-7.8169622 / (((((x1 * -0.721577) - -0.42527643) / x0) + cos(x1 + x0)) * x0)) / (x0 - (0.2380122 + (exp(x1) * x0)))) + (x1 + x0)"
30,1.0383125e-5,"((-7.8169622 / (x0 * ((((x1 * -0.721577) - -0.42527643) / x0) + cos(x1 + x0)))) / (x0 - (0.2380122 + (exp(x1) * exp(x1))))) + (x1 + x0)"
