Complexity,Loss,Equation
1,12.158286,"48.54151"
3,0.06125,"x0 + x1"
5,0.06117342,"(x1 + 0.008747162) + x0"
6,0.061173394,"x0 + (x1 + exp(-4.7361608))"
8,0.061173365,"x0 - (sin(x2 + -4.1327715) - x1)"
9,0.06113022,"(x1 + exp(cos(x1) + -5.042416)) + x0"
10,0.061040364,"(x1 + (x0 + 0.8830369)) + cos(sqrt(sqrt(x0)))"
11,0.060885414,"((x0 + x1) + cos(sqrt(x0 + 39.168842))) + 0.9893425"
12,0.059878264,"(x1 + (x0 + 0.88366055)) + cos(sqrt(sqrt(x0 + x1)))"
13,0.056966785,"cos(sqrt((x0 + x1) - -38.182625)) + ((x1 + 0.9869086) + x0)"
14,0.03694505,"x1 + ((exp(cos(sqrt((x1 + x0) + -35.91934))) + x0) + -0.43544096)"
16,0.029920291,"(x1 + (x0 + exp(cos(sqrt((x1 + -35.854767) + x0) + -0.34633192)))) + -0.40667593"
18,0.029881272,"((exp(cos(sqrt(((x0 - 0.5570364) + x1) + -35.31798) + -0.3297603)) + x1) + -0.41210535) + x0"
20,0.029881256,"exp(cos(sqrt(((x1 + -19.572727) - 15.745255) + (x0 - 0.5570364)) + -0.3297603)) + ((x1 + x0) + -0.41210535)"
23,0.029435482,"exp(sin(sqrt((x1 + (x0 + -19.770502)) - (sin(x0 + -34.742928) + 15.005434)) + 1.0913136)) + ((x0 + x1) + -0.40383676)"
24,0.0024599857,"(x0 + exp(exp(cos(sqrt((x0 + (-19.756428 - (cos(x1) + 14.97281))) + x1) + -0.41124684)) - 0.6567513)) + (x1 - 0.78547)"
26,0.0015527533,"(x0 + (exp(exp(cos(sqrt(((x0 + -19.813238) - (cos(x1 + 0.7101857) + 15.020313)) + x1) + -0.32895133)) - 0.66342247) + x1)) - 0.78536797"
28,0.00084166037,"(x0 + (exp(exp(cos(sqrt(((x0 + -19.824379) - (cos(x0 + (x0 + -35.011604)) + 15.034796)) + x1) + -0.51868683)) - 0.6595904) + x1)) - 0.7798878"
