Complexity,Loss,Equation
1,12.158286,"48.541523"
3,0.06125,"x1 + x0"
5,0.061142143,"(x1 * 0.9982488) + x0"
7,0.060197026,"((x0 + x1) * 0.9911039) + 0.44049978"
9,0.05931619,"((x1 - -1.1012105) * 0.98713684) + (x0 * 0.9777635)"
11,0.058522865,"((x0 * 0.98639613) + x1) + (32.27676 / (x0 + x1))"
13,0.04392981,"(((757.83594 / (x0 + x1)) + (x1 + x0)) * 1.4724376) - 46.034115"
16,0.002299209,"sqrt((((12.927172 / ((x1 + -34.49656) + x0)) + (x1 + -26.94034)) + x0) * 104.86562)"
18,0.0020109867,"sqrt(((13.8809185 / ((x1 + -34.38864) + x0)) + (x1 + (x0 + -27.064383))) * 3.2566037) * 5.6821404"
20,0.00081767386,"(sqrt(((((19.476265 / ((x1 + x0) + -33.864292)) + x1) + x0) + -25.521784) * 101.73086) * 1.088431) - 5.608632"
22,0.000810388,"((sqrt(((19.50686 / (x0 + (x1 + -33.84616))) + (x0 + (x1 + -25.33497))) * 101.73423) * 1.0911325) - 5.5336328) + -0.41811642"
