Complexity,Loss,Equation
1,12.158286,"48.54151"
3,0.06125,"x0 + x1"
5,0.061142158,"x0 + (x1 / 1.0017711)"
7,0.060197018,"((x1 + x0) * 0.99111915) + 0.43975502"
9,0.059316173,"((x1 * 0.9871704) + 1.0856748) + (x0 * 0.97779137)"
11,0.0030361665,"x1 + ((0.74803114 / (x0 + (x1 / 0.16320102))) + x0)"
12,3.96831e-6,"(x1 + (0.3879966 / exp(x0 + (x1 / 0.15253013)))) + x0"
14,3.2462156e-6,"(((0.3879966 / exp(x0 + (x1 / 0.15253013))) + x0) * 0.99997866) + x1"
16,3.2440041e-6,"x1 + ((0.3879966 / exp(x0 + (x1 / 0.15253013))) + ((x0 * 0.99998933) * 0.99998933))"
20,2.4469343e-6,"((0.35572636 / (exp((x1 / 0.1530526) + x0) + (-0.81194794 / ((x1 + x0) / 0.62073535)))) + x0) + x1"
22,1.1017821e-6,"(x1 + x0) + (0.5551961 / exp(((x1 / 0.15438911) + ((x2 / x1) - sin(sin(x0 + -2.2108707)))) + x0))"
23,7.903577e-7,"x1 + ((x0 / 1.00001) + (0.5551961 / exp((x1 / 0.15438911) + (((x2 / x1) - sin(x0 + -2.2108707)) + x0))))"
