Time_s,Velocity_t,Velocity_tplus1,dx,dt,Mode
0,35,40,5,1,Accelerate
1,40,45,5,1,Accelerate
2,45,50,5,1,Accelerate
3,50,43,-7,1,Brake
4,43,48,5,1,Accelerate
5,48,53,5,1,Accelerate
6,53,46,-7,1,Brake
7,46,51,5,1,Accelerate
8,51,44,-7,1,Brake
9,44,49,5,1,Accelerate
10,49,54,5,1,Accelerate
11,54,47,-7,1,Brake
12,47,52,5,1,Accelerate
13,52,45,-7,1,Brake
14,45,50,5,1,Accelerate
15,50,43,-7,1,Brake
16,43,48,5,1,Accelerate
17,48,53,5,1,Accelerate
18,53,46,-7,1,Brake
19,46,51,5,1,Accelerate
20,51,44,-7,1,Brake
21,44,49,5,1,Accelerate
22,49,54,5,1,Accelerate
23,54,47,-7,1,Brake
24,47,52,5,1,Accelerate
25,52,45,-7,1,Brake
26,45,50,5,1,Accelerate
27,50,43,-7,1,Brake
28,43,48,5,1,Accelerate
29,48,53,5,1,Accelerate
30,53,46,-7,1,Brake
31,46,51,5,1,Accelerate
32,51,44,-7,1,Brake
33,44,49,5,1,Accelerate
34,49,54,5,1,Accelerate
35,54,47,-7,1,Brake
36,47,52,5,1,Accelerate
37,52,45,-7,1,Brake
38,45,50,5,1,Accelerate
39,50,43,-7,1,Brake
40,43,48,5,1,Accelerate
41,48,53,5,1,Accelerate
42,53,46,-7,1,Brake
43,46,51,5,1,Accelerate
44,51,44,-7,1,Brake
45,44,49,5,1,Accelerate
46,49,54,5,1,Accelerate
47,54,47,-7,1,Brake
48,47,52,5,1,Accelerate
49,52,45,-7,1,Brake
50,45,50,5,1,Accelerate
51,50,43,-7,1,Brake
52,43,48,5,1,Accelerate
53,48,53,5,1,Accelerate
54,53,46,-7,1,Brake
55,46,51,5,1,Accelerate
56,51,44,-7,1,Brake
57,44,49,5,1,Accelerate
58,49,54,5,1,Accelerate
59,54,47,-7,1,Brake
60,47,52,5,1,Accelerate
61,52,45,-7,1,Brake
62,45,50,5,1,Accelerate
63,50,43,-7,1,Brake
64,43,48,5,1,Accelerate
65,48,53,5,1,Accelerate
66,53,46,-7,1,Brake
67,46,51,5,1,Accelerate
68,51,44,-7,1,Brake
69,44,49,5,1,Accelerate
70,49,54,5,1,Accelerate
71,54,47,-7,1,Brake
72,47,52,5,1,Accelerate
73,52,45,-7,1,Brake
74,45,50,5,1,Accelerate
75,50,43,-7,1,Brake
76,43,48,5,1,Accelerate
77,48,53,5,1,Accelerate
78,53,46,-7,1,Brake
79,46,51,5,1,Accelerate
80,51,44,-7,1,Brake
81,44,49,5,1,Accelerate
82,49,54,5,1,Accelerate
83,54,47,-7,1,Brake
84,47,52,5,1,Accelerate
85,52,45,-7,1,Brake
86,45,50,5,1,Accelerate
87,50,43,-7,1,Brake
88,43,48,5,1,Accelerate
89,48,53,5,1,Accelerate
90,53,46,-7,1,Brake
91,46,51,5,1,Accelerate
92,51,44,-7,1,Brake
93,44,49,5,1,Accelerate
