Complexity,Loss,Equation
1,3.9545e-5,"-0.000813915"
3,2.9533423e-6,"w1 * -0.009450873"
5,2.9202854e-6,"(w1 + 0.019428693) * -0.009421338"
7,2.912154e-6,"w1 * (-0.008958849 + (t / -0.017218346))"
8,2.8879062e-6,"(-0.02340503 - sqrt(t)) * (w1 * 0.3621989)"
9,1.2247741e-6,"(w1 * -0.0082010105) / sqrt(sqrt(w1 * w1))"
10,1.1640523e-6,"w1 * (-0.0074757277 / sqrt((w1 * w1) - -0.08066641))"
12,1.1543467e-6,"(-5.123421e-5 - (w1 * 0.007465658)) / sqrt((w1 * w1) - -0.08080392)"
13,1.110925e-6,"(w1 * -0.009128392) / (sqrt(w1 * w1) + sqrt(sqrt(sqrt(t))))"
15,1.096801e-6,"(-0.009233342 / (sqrt(w1 * w1) + sqrt(sqrt(sqrt(t))))) * (w1 - -0.010086503)"
17,1.0921616e-6,"((w1 / (sqrt(w1 * w1) + sqrt(sqrt(sqrt(t))))) * -0.009104228) - (t - -0.00013001912)"
19,1.0911534e-6,"((w1 / (sqrt(w1 * w1) + sqrt(sqrt(sqrt(t))))) * -0.009104228) - ((w1 * t) - -0.00013001912)"
21,1.0107426e-6,"(-0.0092445435 / (sqrt(sqrt(sqrt(t))) + sqrt(w1 / ((w1 / (w1 * w1)) - (w2 / -3.2132285))))) * w1"
23,1.0104282e-6,"((w1 * -0.009250671) / (sqrt(sqrt(sqrt(t))) + sqrt(w1 / ((w1 / (w1 * w1)) - (w2 / -2.9737945))))) - t"
25,1.0089399e-6,"(((-0.009233342 / (sqrt(w1 / ((w1 / (w1 * w1)) - (w2 / -2.9737945))) + sqrt(sqrt(sqrt(t))))) * w1) - t) - t"
27,1.0021374e-6,"((w1 - -0.008582326) * -0.0091787195) / (sqrt(((w1 * w1) / ((w1 / (w1 * w1)) - (w2 / -3.433592))) / w1) + sqrt(sqrt(sqrt(t))))"
28,1.0005913e-6,"((w1 * -0.009258668) / (sqrt(sqrt((w1 * w1) / (((w1 / (w1 * w1)) - (w2 / -1.7106223)) / w1))) + sqrt(sqrt(sqrt(t))))) - 6.383237e-5"
29,1.0003884e-6,"(-0.004569447 / (sqrt((w1 * (w1 / ((w1 / (w1 * w1)) - (w2 / -3.4335933)))) / w1) + sqrt(sqrt(sqrt(t))))) * ((w1 / 0.49520028) - -0.013283041)"
30,9.999254e-7,"((w1 * -0.009258668) / (sqrt(sqrt((w1 * w1) / (((w1 / (w1 * w1)) - (w2 / -1.7106223)) / w1))) + sqrt(sqrt(sqrt(t))))) - (t + 6.383237e-5)"
